"","circuitId","circuitRef","Circuit","location","country","lat","lng","alt","raceId","year","round","grand_prix","race_date","race_time"
"1",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,1,2009,1,"Australian Grand Prix",2009-03-29,"06:00:00"
"2",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,18,2008,1,"Australian Grand Prix",2008-03-16,"04:30:00"
"3",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,36,2007,1,"Australian Grand Prix",2007-03-18,"03:00:00"
"4",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,55,2006,3,"Australian Grand Prix",2006-04-02,"14:00:00"
"5",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,71,2005,1,"Australian Grand Prix",2005-03-06,"14:00:00"
"6",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,90,2004,1,"Australian Grand Prix",2004-03-07,"\N"
"7",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,108,2003,1,"Australian Grand Prix",2003-03-09,"\N"
"8",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,124,2002,1,"Australian Grand Prix",2002-03-03,"\N"
"9",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,141,2001,1,"Australian Grand Prix",2001-03-04,"\N"
"10",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,158,2000,1,"Australian Grand Prix",2000-03-12,"\N"
"11",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,175,1999,1,"Australian Grand Prix",1999-03-07,"\N"
"12",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,191,1998,1,"Australian Grand Prix",1998-03-08,"\N"
"13",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,207,1997,1,"Australian Grand Prix",1997-03-09,"\N"
"14",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,224,1996,1,"Australian Grand Prix",1996-03-10,"\N"
"15",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,338,2010,2,"Australian Grand Prix",2010-03-28,"06:00:00"
